Time,T01_TEMP,T02_TEMP,T03_TEMP,T04_TEMP,T05_TEMP,T06_TEMP,T07_TEMP,T08_TEMP,T09_TEMP,Text,T01_Wh,T02_Wh,T03_Wh,T04_Wh,T05_Wh,T06_Wh,T07_Wh,T08_Wh,T09_Wh,GHI
2019-03-30 00:00:00,17.786,18.351,19.061,19.091,19.214,18.784,19.581,19.188,19.963,-6.04781981132075,0.0,1.0,1.0,4.0,6.0,2.0,2.0,2.0,2.0,0.0
2019-03-30 01:00:00,17.394,17.925,18.571,18.596,18.803,17.706,19.052,18.727,19.381,-6.4886254716981,82.0,2.0,2.0,4.0,7.0,2.0,2.0,2.0,2.0,0.0
2019-03-30 02:00:00,17.389,17.613,18.063,18.095,18.339,17.974,18.444,18.237,18.902,-6.68004622641509,415.0,35.0,2.0,4.0,7.0,2.0,2.0,2.0,2.0,0.0
2019-03-30 03:00:00,17.54,17.567,17.588,17.642,17.915,16.647,17.877,17.759,18.408,-6.18693962264151,497.0,123.0,2.0,42.0,7.0,2.0,2.0,25.0,2.0,0.0
2019-03-30 04:00:00,17.667,17.603,17.278,17.337,17.573,17.612,17.376,17.482,18.001,-3.77902654028436,432.0,304.0,2.0,206.0,6.0,92.0,157.0,178.0,2.0,0.0
2019-03-30 05:00:00,17.568,17.686,17.295,17.332,17.472,17.29,17.336,17.494,17.801,-3.60637380952381,1185.0,1151.0,556.0,647.0,940.0,540.0,628.0,594.0,400.0,0.0
2019-03-30 06:00:00,19.534,19.347,20.609,19.465,19.854,19.748,20.609,20.355,20.131,-3.61002118226601,1926.0,1892.0,383.0,485.0,1160.0,492.0,683.0,546.0,253.0,44.17847084290083
2019-03-30 07:00:00,20.973,20.868,20.294,19.92,20.425,21.054,20.453,20.505,20.03,-2.93086748768473,1109.0,1569.0,95.0,308.0,561.0,332.0,427.0,362.0,119.0,140.7268804846154
2019-03-30 08:00:00,20.732,21.133,20.165,20.163,20.333,20.599,20.397,20.579,20.156,-1.89517268292682,870.0,1095.0,2.0,259.0,286.0,311.0,306.0,294.0,17.0,190.2995358782695
2019-03-30 09:00:00,20.693,20.855,20.097,20.205,20.178,20.515,20.409,20.532,20.031,-0.942863285024155,866.0,1257.0,2.0,293.0,46.0,312.0,262.0,280.0,3.0,135.801156171652
